key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Jeg har det godt, tak fordi du spurgte! Hvad kan jeg hjælpe dig med at finde i dag?",,,no,1.46,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,"Hej, jeg er AskVera! Jeg kan hjælpe med spørgsmål om Forever Living-politik eller finde kontaktoplysninger for et kontor - hvad kan jeg hjælpe dig med?",,,no,5.21,,,,
thanks,config/conversation_routes.json,You're welcome!,"Når som helst! Jeg er her, hvis der er noget andet, der dukker op.",,,no,4.40,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Jeg er AskVera, din guide til Forever Living's officielle politikker og det internationale sponsorkatalog. Spørg mig om kvalifikationsregler, bonusser, compliance-spørgsmål eller hvordan du når et kontor, og jeg finder det godkendte svar til dig.",,,no,1.28,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","De godkendte politikdokumenter, der aktuelt er tilgængelige, indeholder ikke tilstrækkelig information til at besvare dette spørgsmål klart. Omformuler spørgsmålet, eller kontakt Forever Living support for et officielt svar.

Du kan også kontakte Forever Livings kundeservice på [PHONE].",,,no,1.09,,,,
