key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Odlično sam, hvala što si pitao! Šta mogu da ti pomognem da pronađeš danas?",,,no,1.32,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,"Zdravo, ja sam AskVera! Mogu vam pomoći sa pitanjima o Forever Living politici ili pronalaženjem kontakt podataka kancelarije - kako vam mogu pomoći?",,,no,5.14,,,,
thanks,config/conversation_routes.json,You're welcome!,Bilo kada! Ja sam tu ako se pojavi nešto drugo.,,,no,3.13,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Ja sam AskVera, vaš vodič kroz zvanične politike Forever Living-a i međunarodni imenik sponzorstva. Pitajte me o pravilima kvalifikacije, bonusima, pitanjima usklađenosti ili kako da dosegnete kancelariju, i pronašću odobreni odgovor za vas.",,,no,1.26,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","Trenutno dostupni odobreni dokumenti politike ne sadrže dovoljno informacija da bih jasno odgovorila na ovo pitanje. Preformulišite pitanje ili kontaktirajte Forever Living podršku za zvaničan odgovor.

Takođe možete kontaktirati Forever Living službu za korisnike na broju [PHONE].",,,no,1.07,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Žao mi je, ali ne mogu da pomognem sa tim pitanjem. AskVera može da pomogne sa odobrenim pravilima kompanije Forever Living i informacijama iz međunarodnog imenika sponzorstva. Slobodno pitajte o nekoj od tih oblasti.",,,no,0.91,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Nisam u mogućnosti da dam medicinski savjet ili da tvrdim da nešto liječi ili izlječava. Za sve što je vezano uz zdravlje, kvalificirani zdravstveni stručnjak je zaista prava osoba za pitanje. Forever proizvodi nisu ocenjeni od strane Food and Drug Administration i nisu namenjeni za dijagnostikovanje, lečenje, izlečenje ili sprečavanje bilo koje bolesti.",,,no,1.06,,,,
income_claim,config/conversation_routes.json,I can't share income projections or guarantees - that's not something I'm able to speak to. The official Income Disclosure Statement is the right place for that kind of detail. Individual results may vary. Forever makes no guarantees on income or success. The Forever Business Owner opportunity and related incentives are not available to residents of the United States.,Ne mogu da delim projekcije dohotka ili garancije - to nije nešto o čemu mogu da govorim. Zvanična Izjava o otkrivanju dohotka je pravo mesto za tu vrstu detalja. Individualni rezultati mogu varirati. Forever ne daje garancije u vezi sa prihodom ili uspehom. Mogućnost Forever Business Owner i povezani podsticaji nisu dostupni stanovnicima Sjedinjenih Američkih Država.,,,no,1.00,,,,
bedrock_error,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Žao mi je - imam kratkotrajan tehnički problem sa pristupom bazi znanja. Možete li pokušati ponovo za trenutak?,,,no,0.97,,,,
sensitive_pii,config/conversation_routes.json,"For your privacy, I removed sensitive personal information from your message. AskVera does not use or save government IDs, payment details, passwords, or other sensitive identifiers. Please ask again without personal details.",,,,no,,machine_translated_at_request_time,,,
guardrail_blocked,config/conversation_routes.json,I couldn't provide that response because it did not pass AskVera's safety checks. Please rephrase the question without private information or unsafe claims.,,,,no,,machine_translated_at_request_time,,,
reference_clarification,config/conversation_routes.json,I want to make sure I answer about the right country — do you mean {candidates}?,,{candidates},,yes,,machine_translated_at_request_time,,,
dependency_unavailable,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Žao mi je - imam kratkotrajan tehnički problem sa pristupom bazi znanja. Možete li pokušati ponovo za trenutak?,,,no,0.97,,,,
evidence_missing_detail,config/conversation_routes.json,"The approved documents I have do not contain enough detail about {topic} to answer that. Please rephrase the question, or contact Forever Living support for an official answer.",Odobreni dokumenti koje imam ne sadrže dovoljno detalja o {topic} da bih odgovorila na to. Preformulišite pitanje ili kontaktirajte Forever Living podršku za zvaničan odgovor.,{topic},{topic},no,0.99,,,,
cross_market_policy_scope,config/conversation_routes.json,"I can only answer using the policy documents approved for your own market. For {country}'s policy specifically, please check with a local Forever Living office or Customer Care.",Mogu odgovoriti samo na osnovu dokumenata politike odobrenih za vaše tržište. Za politiku u {country} obratite se lokalnoj Forever Living kancelariji ili službi za korisnike.,{country},{country},no,0.98,,,,
international_directory_note,config/conversation_routes.json,"This contact information comes from the international sponsoring directory for {country}, not from local policy documents.","Ovi kontakt podaci potiču iz međunarodnog direktorijuma sponzorstva za {country}, a ne iz lokalnih dokumenata politike.",{country},{country},no,0.98,,,,
personal_account_limit,config/conversation_routes.json,"I can't look up personal account, order or earnings details. Please contact Forever Living Customer Care or check your account portal for that.","Ne mogu da pronađem podatke o ličnom nalogu, porudžbinama ili zaradi. Za to se obratite Forever Living službi za korisnike ili proverite svoj portal naloga.",,,no,1.09,,,,
partial_answer_gap,config/conversation_routes.json,I could not confirm {fields} from the approved documents. The rest of the answer above is what I could confirm.,Nisam mogla da potvrdim {fields} na osnovu odobrenih dokumenata. Ostatak odgovora iznad je ono što sam mogla da potvrdim.,{fields},{fields},no,1.09,,,,
