key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Je vais bien, merci de demander ! Comment puis-je vous aider aujourd'hui ?",,,no,1.30,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,"Bonjour, je suis AskVera ! Je peux vous aider avec vos questions sur la politique Forever Living ou vous trouver les coordonnées d'un bureau - comment puis-je vous aider ?",,,no,5.90,,,,
thanks,config/conversation_routes.json,You're welcome!,Quand vous voulez ! Je suis là si vous avez besoin d'autre chose.,,,no,4.33,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Je suis AskVera, votre guide des politiques officielles de Forever Living et de l'annuaire international de parrainage. Posez-moi des questions sur les règles de qualification, les bonus, les questions de conformité ou comment joindre un bureau, et je trouverai la réponse approuvée pour vous.",,,no,1.53,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","Les documents de politique approuvés actuellement disponibles ne contiennent pas suffisamment d'informations pour répondre clairement à cette question. Veuillez reformuler la question ou contacter le support Forever Living pour obtenir une réponse officielle.

Vous pouvez également contacter le service Client de Forever Living au [PHONE].",,,no,1.29,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Je suis désolée, mais je ne peux pas répondre à cette question. AskVera peut vous aider avec les politiques d’entreprise approuvées de Forever Living et les informations de l'annuaire international de parrainage. Posez-moi une question sur l’un de ces sujets et je serai ravie de vous aider.",,,no,1.22,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Je ne suis pas en mesure de donner des conseils médicaux ni de faire des affirmations concernant le traitement ou la guérison de quoi que ce soit. Pour toute question liée à la santé, un professionnel de santé qualifié est vraiment la personne appropriée à consulter. Les produits Forever n'ont pas été évalués par la Food and Drug Administration et ne sont pas destinés à diagnostiquer, traiter, guérir ou prévenir une maladie.",,,no,1.28,,,,
income_claim,config/conversation_routes.json,I can't share income projections or guarantees - that's not something I'm able to speak to. The official Income Disclosure Statement is the right place for that kind of detail. Individual results may vary. Forever makes no guarantees on income or success. The Forever Business Owner opportunity and related incentives are not available to residents of the United States.,Je ne peux pas partager de projections de revenus ou de garanties - ce n'est pas quelque chose dont je peux parler. La Déclaration officielle de divulgation des revenus est le bon endroit pour ce type de détail. Les résultats individuels peuvent varier. Forever ne garantit aucun revenu ni aucune réussite. L'opportunité Forever Business Owner et les incitations associées ne sont pas disponibles pour les résidents des États-Unis.,,,no,1.16,,,,
bedrock_error,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Désolé - j'éprouve une brève difficulté technique pour accéder à la base de connaissances. Pourriez-vous réessayer dans un instant ?,,,no,1.16,,,,
sensitive_pii,config/conversation_routes.json,"For your privacy, I removed sensitive personal information from your message. AskVera does not use or save government IDs, payment details, passwords, or other sensitive identifiers. Please ask again without personal details.","Pour protéger votre vie privée, j'ai supprimé les informations personnelles sensibles de votre message. AskVera n'utilise ni n'enregistre les pièces d'identité, les données de paiement, les mots de passe ou d'autres identifiants sensibles. Reformulez votre question sans données personnelles.",,,no,1.30,,,,
guardrail_blocked,config/conversation_routes.json,I couldn't provide that response because it did not pass AskVera's safety checks. Please rephrase the question without private information or unsafe claims.,"Je n'ai pas pu fournir cette réponse, car elle n'a pas satisfait aux contrôles de sécurité d'AskVera. Reformulez la question sans informations privées ni allégations à risque.",,,no,1.12,,,,
reference_clarification,config/conversation_routes.json,I want to make sure I answer about the right country — do you mean {candidates}?,Je veux m'assurer de répondre pour le bon pays — voulez-vous dire {candidates} ?,{candidates},{candidates},no,1.00,,,,
dependency_unavailable,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Désolé - j'éprouve une brève difficulté technique pour accéder à la base de connaissances. Pourriez-vous réessayer dans un instant ?,,,no,1.16,,,,
evidence_missing_detail,config/conversation_routes.json,"The approved documents I have do not contain enough detail about {topic} to answer that. Please rephrase the question, or contact Forever Living support for an official answer.",Les documents approuvés dont je dispose ne contiennent pas assez de détails sur {topic} pour répondre à cette question. Veuillez reformuler la question ou contacter le support Forever Living pour obtenir une réponse officielle.,{topic},{topic},no,1.29,,,,
cross_market_policy_scope,config/conversation_routes.json,"I can only answer using the policy documents approved for your own market. For {country}'s policy specifically, please check with a local Forever Living office or Customer Care.","Je ne peux répondre qu'à partir des documents de politique approuvés pour votre propre marché. Pour la politique de {country} en particulier, veuillez contacter un bureau local Forever Living ou le service Client.",{country},{country},no,1.20,,,,
international_directory_note,config/conversation_routes.json,"This contact information comes from the international sponsoring directory for {country}, not from local policy documents.","Ces coordonnées proviennent de l'annuaire international de parrainage pour {country}, et non des documents de politique locale.",{country},{country},no,1.04,,,,
personal_account_limit,config/conversation_routes.json,"I can't look up personal account, order or earnings details. Please contact Forever Living Customer Care or check your account portal for that.","Je ne peux pas consulter les détails de compte personnel, de commande ou de revenus. Veuillez contacter le service Client de Forever Living ou consulter votre portail de compte pour cela.",,,no,1.31,,,,
partial_answer_gap,config/conversation_routes.json,I could not confirm {fields} from the approved documents. The rest of the answer above is what I could confirm.,Je n'ai pas pu confirmer {fields} à partir des documents approuvés. Le reste de la réponse ci-dessus est ce que j'ai pu confirmer.,{fields},{fields},no,1.17,,,,
clarify_field,config/conversation_routes.json,Which of these did you mean: {options}?,Lequel de ces éléments vouliez-vous dire : {options} ?,{options},{options},no,1.38,,,,
clarify_country,config/conversation_routes.json,Which country did you mean: {options}?,Quel pays vouliez-vous dire : {options} ?,{options},{options},no,1.08,,,,
clarify_role,config/conversation_routes.json,Which role did you mean: {options}?,Quel rôle vouliez-vous dire : {options} ?,{options},{options},no,1.17,,,,
repair_ack,config/conversation_routes.json,"Got it, thanks for clarifying.","Compris, merci pour la précision.",,,no,1.10,,,,
contact_offer,config/conversation_routes.json,You can also reach {contact} for more help.,Vous pouvez également contacter {contact} pour plus d'aide.,{contact},{contact},no,1.37,,,,
suggest_intro,config/conversation_routes.json,You might also want to ask about:,Vous pourriez aussi vouloir poser une question sur :,,,no,1.58,,,,
suggest_topic_delivery_cost,config/conversation_routes.json,Delivery cost,Frais de livraison,,,no,1.38,,,,
suggest_topic_payment_methods,config/conversation_routes.json,Payment methods,Moyens de paiement,,,no,1.20,,,,
suggest_topic_contact,config/conversation_routes.json,Office contact details,Coordonnées du bureau,,,no,0.95,,,,
suggest_topic_returns,config/conversation_routes.json,Returns,Retours,,,no,1.00,,,,
field_label_phone,config/conversation_routes.json,Phone,Téléphone,,,no,1.80,,,,
field_label_order_phone,config/conversation_routes.json,Order phone,Téléphone commandes,,,no,1.73,,,,
field_label_email,config/conversation_routes.json,Email,E-mail,,,no,1.20,,,,
field_label_website,config/conversation_routes.json,Website,Site web,,,no,1.14,,,,
field_label_address,config/conversation_routes.json,Address,Adresse,,,no,1.00,,,,
field_label_business_hours,config/conversation_routes.json,Business hours,Heures d'ouverture,,,no,1.29,,,,
field_label_payment_methods,config/conversation_routes.json,Payment methods,Moyens de paiement,,,no,1.20,,,,
field_label_delivery_cost,config/conversation_routes.json,Delivery cost,Frais de livraison,,,no,1.38,,,,
field_label_delivery_time,config/conversation_routes.json,Delivery time,Délai de livraison,,,no,1.38,,,,
field_label_fax,config/conversation_routes.json,Fax,Fax,,,no,1.00,,,,
product_disease_claim_refusal,config/claim_safety.json,"I'm sorry, but I can't confirm that a Forever Living product treats or cures a disease. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. For a medical question, please speak with a qualified healthcare professional. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Je suis désolée, mais je ne peux pas confirmer qu'un produit Forever Living traite ou guérit une maladie. AskVera peut vous aider avec les politiques approuvées de Forever Living et les informations de l'annuaire international de parrainage. Pour une question médicale, consultez un professionnel de santé qualifié. Les produits Forever n'ont pas été évalués par la Food and Drug Administration et ne sont pas destinés à diagnostiquer, traiter, guérir ou prévenir une maladie.",,,no,1.08,,,,
