key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Спасибо за вопрос, у меня всё хорошо! Чем я могу вам помочь?",,,no,1.05,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,Привет! Я AskVera! Я могу помочь с вопросами о политике Forever Living или найти контактные данные офиса - чем я могу вам помочь?,,,no,4.45,,,,
thanks,config/conversation_routes.json,You're welcome!,"Всегда! Я здесь, если возникнет что-то ещё.",,,no,2.87,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Я AskVera, ваш помощник по официальным политикам Forever Living и международному справочнику спонсорства. Спросите меня о правилах квалификации, бонусах, вопросах соответствия или о том, как связаться с офисом, и я найду для вас одобренный ответ.",,,no,1.28,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","Утверждённые документы политики, доступные в настоящее время, не содержат достаточно информации, чтобы чётко ответить на этот вопрос. Пожалуйста, переформулируйте вопрос или обратитесь в службу поддержки Forever Living за официальным ответом.

Вы также можете обратиться в службу поддержки клиентов Forever Living по номеру [PHONE].",,,no,1.26,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Извините, я не могу помочь с этим вопросом. AskVera может помочь с утверждёнными корпоративными политиками Forever Living и информацией из международного справочника спонсорства. Пожалуйста, задайте вопрос по одной из этих тем.",,,no,0.95,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Я не могу давать медицинские советы или делать заявления о лечении или излечении чего-либо. По любым вопросам, связанным со здоровьем, действительно следует обратиться к квалифицированному медицинскому специалисту. Продукция Forever не была оценена Food and Drug Administration (FDA) и не предназначена для диагностики, лечения, исцеления или предотвращения любых заболеваний.",,,no,1.12,,,,
