key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Met mij gaat het goed, bedankt dat je het vraagt! Wat kan ik je vandaag helpen zoeken?",,,no,1.51,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,Hallo! Ik ben AskVera! Ik kan je helpen met vragen over het Forever Living-beleid of het vinden van contactgegevens van een kantoor - waarmee kan ik je helpen?,,,no,5.48,,,,
thanks,config/conversation_routes.json,You're welcome!,Altijd! Ik ben hier als er nog iets anders opkomt.,,,no,3.33,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Ik ben AskVera, uw gids voor het officiële beleid van Forever Living en de internationale sponsordirectory. Stel mij vragen over kwalificatieregels, bonussen, nalevingsvragen of hoe u een kantoor kunt bereiken, en ik zal het goedgekeurde antwoord voor u vinden.",,,no,1.36,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","De momenteel beschikbare goedgekeurde beleidsdocumenten bevatten onvoldoende informatie om deze vraag duidelijk te beantwoorden. Formuleer de vraag anders of neem contact op met Forever Living Support voor een officieel antwoord.

U kunt ook contact opnemen met de klantenservice van Forever Living via [PHONE].",,,no,1.18,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Het spijt me, maar ik kan niet helpen met die vraag. AskVera kan helpen met goedgekeurd bedrijfsbeleid van Forever Living en informatie uit de internationale sponsordirectory. Stel gerust een vraag over een van deze onderwerpen.",,,no,0.96,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Ik kan geen medisch advies geven en kan geen uitspraken doen over het behandelen of genezen van iets. Voor gezondheidsgebonden vragen is een gekwalificeerde zorgverlener echt de juiste persoon om te raadplegen. Forever's producten zijn niet geëvalueerd door de Food and Drug Administration en zijn niet bedoeld om een ziekte te diagnosticeren, te behandelen, te genezen of te voorkomen.",,,no,1.15,,,,
income_claim,config/conversation_routes.json,I can't share income projections or guarantees - that's not something I'm able to speak to. The official Income Disclosure Statement is the right place for that kind of detail. Individual results may vary. Forever makes no guarantees on income or success. The Forever Business Owner opportunity and related incentives are not available to residents of the United States.,Ik kan geen inkomstenverwachtingen of garanties delen - dat is iets waar ik niet over kan spreken. De officiële Income Disclosure Statement is de juiste plaats voor dat soort details. Individuele resultaten kunnen variëren. Forever geeft geen garanties op inkomen of succes. De Forever Business Owner-mogelijkheid en de bijbehorende incentives zijn niet beschikbaar voor inwoners van de Verenigde Staten.,,,no,1.09,,,,
bedrock_error,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Het spijt me - ik heb even een technisch probleem met het bereiken van de kennisbank. Wil je het over een moment opnieuw proberen?,,,no,1.14,,,,
