key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Jeg har det bra, takk for at du spør! Hva kan jeg hjelpe deg med i dag?",,,no,1.25,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,Hei! Jeg er AskVera! Jeg kan hjelpe deg med spørsmål om Forever Living-policyer eller finne kontaktdetaljer for et kontor - hva kan jeg hjelpe deg med?,,,no,5.21,,,,
thanks,config/conversation_routes.json,You're welcome!,Når som helst! Jeg er her hvis noe annet dukker opp.,,,no,3.47,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Jeg er AskVera, din guide til Forever Livings offisielle retningslinjer og den internasjonale sponsorkatalogen. Spør meg om kvalifikasjonsregler, bonuser, compliance-spørsmål eller hvordan du når et kontor, og jeg finner det godkjente svaret for deg.",,,no,1.30,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","De godkjente retningslinjedokumentene som er tilgjengelige nå, inneholder ikke nok informasjon til å svare tydelig på dette spørsmålet. Omformuler spørsmålet, eller kontakt Forever Living support for et offisielt svar.

Du kan også kontakte Forever Livings kundeservice på [PHONE].",,,no,1.06,,,,
