key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Jag mår bra, tack för att du frågade! Vad kan jag hjälpa dig att hitta idag?",,,no,1.33,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,"Hej där, jag är AskVera! Jag kan hjälpa till med frågor om Forever Living-policyn eller hitta kontaktuppgifter för ett kontor - vad kan jag hjälpa dig med?",,,no,5.34,,,,
thanks,config/conversation_routes.json,You're welcome!,Närhelst som helst! Jag är här om något annat dyker upp.,,,no,3.73,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Jag är AskVera, din guide till Forever Livings officiella policyer och den internationella sponsorkatalogen. Fråga mig om kvalificeringsregler, bonusar, efterlevnadsfrågor eller hur du når ett kontor, så hittar jag det godkända svaret för dig.",,,no,1.27,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","De godkända policydokument som för närvarande är tillgängliga innehåller inte tillräckligt med information för att tydligt svara på den här frågan. Formulera om frågan eller kontakta Forever Livings support för ett officiellt svar.

Du kan också kontakta Forever Livings kundtjänst på [PHONE].",,,no,1.11,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Jag är ledsen, men jag kan inte hjälpa till med den frågan. AskVera kan hjälpa till med godkända företagspolicyer för Forever Living och information från den internationella sponsorkatalogen. Fråga gärna om något av dessa områden.",,,no,0.97,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Jag kan inte ge medicinsk rådgivning eller göra påståenden om att behandla eller bota något. För allt som är hälsorelaterat är en kvalificerad sjukvårdspersonal verkligen rätt person att fråga. Forevers produkter har inte utvärderats av Food and Drug Administration och är inte avsedda att diagnostisera, behandla, bota eller förebygga någon sjukdom.",,,no,1.04,,,,
income_claim,config/conversation_routes.json,I can't share income projections or guarantees - that's not something I'm able to speak to. The official Income Disclosure Statement is the right place for that kind of detail. Individual results may vary. Forever makes no guarantees on income or success. The Forever Business Owner opportunity and related incentives are not available to residents of the United States.,Jag kan inte dela inkomstprognoser eller garantier - det är något jag inte kan tala om. Det officiella inkomstöppenbarhetsuttalandet är rätt plats för den typen av detaljer. Individuella resultat kan variera. Forever lämnar inga garantier för inkomst eller framgång. Forever Business Owner-möjligheten och tillhörande incitament är inte tillgängliga för invånare i USA.,,,no,1.00,,,,
bedrock_error,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Förlåt - jag har ett kort tekniskt problem med att nå kunskapsbasen. Skulle du kunna försöka igen om en liten stund?,,,no,1.02,,,,
sensitive_pii,config/conversation_routes.json,"For your privacy, I removed sensitive personal information from your message. AskVera does not use or save government IDs, payment details, passwords, or other sensitive identifiers. Please ask again without personal details.",,,,no,,machine_translated_at_request_time,,,
guardrail_blocked,config/conversation_routes.json,I couldn't provide that response because it did not pass AskVera's safety checks. Please rephrase the question without private information or unsafe claims.,,,,no,,machine_translated_at_request_time,,,
reference_clarification,config/conversation_routes.json,I want to make sure I answer about the right country — do you mean {candidates}?,Jag vill vara säker på att jag svarar om rätt land — menar du {candidates}?,{candidates},{candidates},no,0.94,,,,
dependency_unavailable,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Förlåt - jag har ett kort tekniskt problem med att nå kunskapsbasen. Skulle du kunna försöka igen om en liten stund?,,,no,1.02,,,,
evidence_missing_detail,config/conversation_routes.json,"The approved documents I have do not contain enough detail about {topic} to answer that. Please rephrase the question, or contact Forever Living support for an official answer.",De godkända dokument jag har innehåller inte tillräckligt med information om {topic} för att svara på det. Formulera om frågan eller kontakta Forever Livings support för ett officiellt svar.,{topic},{topic},no,1.08,,,,
cross_market_policy_scope,config/conversation_routes.json,"I can only answer using the policy documents approved for your own market. For {country}'s policy specifically, please check with a local Forever Living office or Customer Care.","Jag kan bara svara utifrån de policydokument som är godkända för din egen marknad. För policyn i {country} specifikt, kontakta ett lokalt Forever Living-kontor eller kundtjänst.",{country},{country},no,1.00,,,,
international_directory_note,config/conversation_routes.json,"This contact information comes from the international sponsoring directory for {country}, not from local policy documents.","Denna kontaktinformation kommer från den internationella sponsringskatalogen för {country}, inte från lokala policydokument.",{country},{country},no,1.02,,,,
personal_account_limit,config/conversation_routes.json,"I can't look up personal account, order or earnings details. Please contact Forever Living Customer Care or check your account portal for that.","Jag kan inte slå upp personliga konto-, order- eller intäktsuppgifter. Kontakta Forever Livings kundtjänst eller kontrollera din kontoportal för detta.",,,no,1.06,,,,
partial_answer_gap,config/conversation_routes.json,I could not confirm {fields} from the approved documents. The rest of the answer above is what I could confirm.,Jag kunde inte bekräfta {fields} utifrån de godkända dokumenten. Resten av svaret ovan är vad jag kunde bekräfta.,{fields},{fields},no,1.02,,,,
clarify_field,config/conversation_routes.json,Which of these did you mean: {options}?,Vilket av dessa menade du: {options}?,{options},{options},no,0.95,,,,
clarify_country,config/conversation_routes.json,Which country did you mean: {options}?,Vilket land menade du: {options}?,{options},{options},no,0.87,,,,
clarify_role,config/conversation_routes.json,Which role did you mean: {options}?,Vilken roll menade du: {options}?,{options},{options},no,0.94,,,,
repair_ack,config/conversation_routes.json,"Got it, thanks for clarifying.","Uppfattat, tack för förtydligandet.",,,no,1.17,,,,
contact_offer,config/conversation_routes.json,You can also reach {contact} for more help.,Du kan också kontakta {contact} för mer hjälp.,{contact},{contact},no,1.07,,,,
suggest_intro,config/conversation_routes.json,You might also want to ask about:,Du kanske också vill fråga om:,,,no,0.91,,,,
suggest_topic_delivery_cost,config/conversation_routes.json,Delivery cost,Fraktkostnad,,,no,0.92,,,,
suggest_topic_payment_methods,config/conversation_routes.json,Payment methods,Betalningsmetoder,,,no,1.13,,,,
suggest_topic_contact,config/conversation_routes.json,Office contact details,Kontorets kontaktuppgifter,,,no,1.18,,,,
suggest_topic_returns,config/conversation_routes.json,Returns,Returer,,,no,1.00,,,,
field_label_phone,config/conversation_routes.json,Phone,Telefon,,,no,1.40,,,,
field_label_order_phone,config/conversation_routes.json,Order phone,Beställningstelefon,,,no,1.73,,,,
field_label_email,config/conversation_routes.json,Email,E-post,,,no,1.20,,,,
field_label_website,config/conversation_routes.json,Website,Webbplats,,,no,1.29,,,,
field_label_address,config/conversation_routes.json,Address,Adress,,,no,0.86,,,,
field_label_business_hours,config/conversation_routes.json,Business hours,Öppettider,,,no,0.71,,,,
field_label_payment_methods,config/conversation_routes.json,Payment methods,Betalningsmetoder,,,no,1.13,,,,
field_label_delivery_cost,config/conversation_routes.json,Delivery cost,Fraktkostnad,,,no,0.92,,,,
field_label_delivery_time,config/conversation_routes.json,Delivery time,Leveranstid,,,no,0.85,,,,
field_label_fax,config/conversation_routes.json,Fax,Fax,,,no,1.00,,,,
product_disease_claim_refusal,config/claim_safety.json,"I'm sorry, but I can't confirm that a Forever Living product treats or cures a disease. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. For a medical question, please speak with a qualified healthcare professional. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Jag är ledsen, men jag kan inte bekräfta att en Forever Living-produkt behandlar eller botar en sjukdom. AskVera kan hjälpa till med godkända företagspolicyer från Forever Living och information från den internationella sponsorkatalogen. Vid medicinska frågor bör du prata med kvalificerad vårdpersonal. Forevers produkter har inte utvärderats av Food and Drug Administration och är inte avsedda att diagnostisera, behandla, bota eller förebygga någon sjukdom.",,,no,1.05,,,,
