id,category,scope,expected_behavior,country,target_country,language,question,current_answer,candidate_answer,current_citations,candidate_citations,current_recall_at_1,candidate_recall_at_1,current_first_relevant_rank,candidate_first_relevant_rank,current_selector_success,candidate_selector_success,current_expectation_met,candidate_expectation_met,human_current_score,human_candidate_score,reviewer_notes
PARA-MGR-CA-001,Becoming a Manager,locale_policy,answer,CA,,en,How do I work my way up to actually become a Manager in the Forever plan?,"# Working Up to Manager Status

Based on the company policy, here's how you move up to become a Recognized Manager:

You need to generate **120 or 150 Case Credits** (the exact threshold depends on your specific situation—your Forever Business Sponsor can clarify which applies to you). These Case Credits can be accumulated in a single Operating Company or across multiple ones.

**Important rule:** You cannot skip over your direct Sponsor on the way to achieving Manager status. Your upline relationship stays intact as you qualify.

Once you hit that Case Credit target and meet the activity requirements for your Home Operating Company during the qualification period, you'll be classified as either a **Sponsored Manager** or a **Transferred Manager**, depending on where those credits came from and which Operating Companies you're active in.

From there, you can continue advancing through higher Manager ranks (like Sapphire, Emerald, Diamond, and beyond), each with its own additional requirements around personal sales, team development, and sponsoring new Supervisors.

For the exact Case Credit threshold that applies to *your* situation and a clear roadmap tailored to your goals, I'd recommend speaking directly with your Sponsor—they'll have the details specific to your market and can guide you step by step.","I appreciate the question! To give you the most accurate answer about becoming a Manager, I'd need to see the specific qualification requirements for the first Manager level in the approved materials.

What I can tell you is that **after** you become a Recognized Manager, there are clear paths forward. You can then work toward Eagle Manager status by meeting requirements like maintaining Activity and Leadership Bonus qualification, accumulating Case Credits, sponsoring new Supervisors, and developing Manager lines—depending on your rank.

However, the materials I have right now focus on Manager-level qualifications and above. To give you the complete picture of how to reach that first Manager rank from where you'd start, I'd recommend connecting with your local Forever Living office or team leader. They'll walk you through the full qualification pathway with examples that match your market and situation.

Is there anything specific about the Manager ranks or requirements I can help clarify?","CA-EN-Company-Policy.pdf - Sec 4.01-h: An FBO who moves up to Recognized Manager as outlined in Section 4.01, | 4.01 | CA",CA-EN-Company-Policy.pdf - Sec 8.04: Eagle Manager Status: | 8.04 | CA; CA-EN-Company-Policy.pdf - Sec 8.05: Manager Recognition - A Recognized Manager may qualify for Manager | 8.05 | CA,False,False,,,False,False,False,False,,,
PARA-MGR-CA-002,Becoming a Manager,locale_policy,answer,CA,,en,How many sales points does someone need to build up before they hit the manager rank?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"I don't have the specific case-credit threshold for reaching Manager rank in the retrieved information available to me right now.

To get you an accurate answer on the exact case-credit requirement for Manager, I'd recommend reaching out to your Forever Living contact or the support team—they'll have the complete qualification details.

Is there anything else about the business plan or products I can help clarify?",,CA-EN-Company-Policy.pdf - Sec 1-b: A downline CBM in any OC. | 1 | CA,False,False,,,False,False,False,False,,,
PARA-MGR-CA-003,Becoming a Manager,locale_policy,answer,CA,,en,What's the difference between someone recognised as a manager and someone who isn't?,"# Recognized Manager vs. Unrecognized Manager

The main differences come down to what incentives and bonuses each can earn, and some qualification details:

**Recognized Manager:**
- Receives a gold Manager pin
- Can qualify for Leadership Bonus and other Manager incentives
- Must meet stricter qualification rules, including having no other downline FBOs also qualifying as Manager during the same period (or having at least 25 Open Group Case Credits from other lines in the final month if a downline Manager does move up)

**Unrecognized Manager:**
- Does not receive the gold pin
- Can qualify for Earned Discount, Preferred Customer, and Volume Bonuses
- **Cannot** qualify for Leadership Bonus or other Manager incentives
- Has simpler qualification rules—they reach Unrecognized Manager status as soon as they hit the Case Credit threshold (120 within 1–2 months, or 150 within 3–4 months) if they don't meet the additional Recognized requirements

Both start by generating the same volume of Open Group Case Credits, but an Unrecognized Manager who wants the full benefits can re-qualify as a Recognized Manager by meeting those additional requirements.","There are two manager statuses in Forever Living's Canadian business plan: **Recognized Manager** and **Unrecognized Manager**. Here's what sets them apart:

**How you get there:**
Both reach manager status by generating the same Case Credits—120 Open Group Case Credits within 1–2 consecutive months, or 150 within 3–4 consecutive months. The difference is *what happens next*.

**Recognized Manager:**
You qualify when you hit those Case Credit thresholds *and* meet additional conditions:
- You must be Active each month during the qualification period
- Either all your Case Credits come from a single Operating Company (and you stay Active there), or they come from multiple companies (and you stay Active in your Home Operating Company)
- No other FBOs in your downline can be moving up to Manager status in that same period—unless you have at least 25 Open Group Case Credits from other parts of your downline in the final month

You get a gold Manager pin and unlock access to Leadership Bonus (if you meet other requirements).

**Unrecognized Manager:**
You reach this status if you generate the required Case Credits but don't meet those additional Recognized Manager conditions. You can still earn Earned Discount, Preferred Customer, and Volume Bonuses, but Leadership Bonus and other Manager incentives are off the table.

An Unrecognized Manager can re-qualify as Recognized by hitting the Case Credit targets again while staying Active.",CA-EN-Company-Policy.pdf - Sec 5.02: Unrecognized Manager: | 5.02 | CA,CA-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager: | 5.01 | CA,False,False,2,4,True,True,True,True,,,
PARA-MGR-CA-004,Becoming a Manager,locale_policy,answer,CA,,en,"Once I make it to manager, can I ever slip back down and lose that rank?",The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"Yes, you can lose your Manager status and associated benefits under Forever Living's compensation plan.
**Loss of Leadership Bonus Eligibility**
If you're not Active in any Operating Company for three consecutive months, you'll lose eligibility to qualify for Leadership Bonus—even if you have no downline Managers.
**Loss of Downline Manager Lines**
If you don't become Leadership Bonus Qualified (LBQ) at least once during a twelve-month period and aren't in the process of regaining that eligibility, you'll permanently forfeit all your downline Manager lines. Those lines then become Inherited Managers assigned to the first Leadership Eligible Manager upline from your original Sponsor.
**Regaining Eligibility**
The good news is that you can regain Leadership Bonus eligibility by meeting these requirements in a single Operating Company over three consecutive months:
- Generate a total of 12 Open Group Case Credits each month
- Stay Active each month
Once you regain it, Leadership Bonus will accrue and be paid starting in the fifth month.
So while the rank structure itself has these protections built in, staying Active and hitting your qualification targets is essential to keeping the benefits and downline structure you've built.",,CA-EN-Company-Policy.pdf - Sec 6.04: (a) A Manager who is not Active in any Operating Company for three | 6.04 | CA,False,False,23,,True,False,False,False,,,
PARA-LVL-CA-005,Sales Levels,locale_policy,answer,CA,,en,What do I have to do to reach that first paid rank above regular member?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"I appreciate your interest in earning rewards with Forever Living. However, I need to clarify what you're asking about.
The retrieved policy information I have covers Manager recognition levels and bonus programs, but I don't have details about what Forever Living calls ""regular member"" status or what the immediate next paid rank above it is in your region.
To give you accurate information about the specific first paid rank and its requirements, I'd recommend:
Once you know which rank you're targeting, I'm happy to help explain the requirements for that specific level.",,CA-EN-Company-Policy.pdf - Sec 10.01: (a) An Active Recognized Manager is eligible to participate in the Earned | 10.01 | CA; CA-EN-Company-Policy.pdf - Sec 8.05: Manager Recognition - A Recognized Manager may qualify for Manager | 8.05 | CA,False,False,,,False,False,False,False,,,
PARA-LVL-CA-006,Sales Levels,locale_policy,answer,CA,,en,What counts as being 'active' so my bonuses don't get taken away?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"To stay active and keep your bonuses, you need to earn **4 Active Case Credits in your Home Operating Company during that calendar month**.
- Being active in your Home Operating Company the previous month, *or*
- Earning 4 Active Case Credits in that Foreign Operating Company during the current month
**Important:** If you don't reach Active status in a given month, any bonuses you would have earned that month go upline to active FBOs instead. The good news is you can re-qualify the next month with no penalty—there's just no retroactive payout for the month you missed.",,CA-EN-Company-Policy.pdf - Sec 4.03: Activity Qualification. | 4.03 | CA,False,False,,12,False,True,False,True,,,
PARA-LVL-CA-007,Sales Levels,locale_policy,answer,CA,,en,"If I go quiet for a couple of years, what happens to my business and my team?",The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"Good question. Based on Forever Living's policies, here's what happens if you're inactive:

**Your business status:**
If you don't maintain Active status (which requires 4 Active Case Credits per month in your Home Operating Company), you won't receive bonuses that month. Any bonuses you accrue while inactive are paid upline to Active FBOs instead. However, you can re-qualify as Active the following month with no retroactive penalty—so your business isn't permanently closed, just temporarily inactive.

**Your team:**
The policy I have access to doesn't provide specific details about what happens to your downline organization during an extended period of inactivity. This is an important question, though, because it likely depends on Forever Living's broader rules about organization maintenance and sponsor responsibilities.

I'd recommend reaching out to Forever Living directly to understand:
- Whether your downline remains connected to you or transfers upline
- Any organization-maintenance requirements to keep your structure intact
- Options if you want to step back temporarily

They can give you the complete picture for your specific situation.",,CA-EN-Company-Policy.pdf - Sec 4.03: Activity Qualification. | 4.03 | CA,False,False,,,False,False,False,False,,,
PARA-LB-CA-008,Leadership Bonus,locale_policy,answer,CA,,en,What lets me start earning off the teams my team builds underneath me?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"I appreciate the question, but I don't have the specific details about how team-building compensation works in the retrieved information available to me right now.
What I can tell you is that Forever Business Owners do build multi-generational teams as part of their business model, but the exact mechanics of how earnings flow from those downstream teams would be found in the compensation plan details.
Is there anything else about the basic business structure or policies I can help clarify?",,CA-EN-Company-Policy.pdf - Sec 22.03-a: Forever Business Owners are builders. They build their individual retail | 22.03 | CA; CA-EN-Company-Policy.pdf - Sec 22.03: FBOs Are Builders | 22.03 | CA,False,False,,,False,False,False,False,,,
PARA-LB-CA-009,Leadership Bonus,locale_policy,answer,CA,,en,"How much do I get from the first, second and third leader levels below me?","If you're Leadership Bonus Qualified (LBQ), you receive Leadership Case Credits from your downline managers as follows:
- **First LBQ Manager level below you:** 40% of their Open Group Case Credits
- **Second LBQ Manager level below you:** 20% of their Open Group Case Credits
- **Third LBQ Manager level below you:** 10% of their Open Group Case Credits
This applies to each sponsorship line separately. So if you have multiple manager lines, you'd receive these percentages from the first, second, and third LBQ manager in each line.
One important point: you only start receiving these Leadership Case Credits once your personally sponsored person reaches the Manager level. Until then, you receive full case credits from them and their entire downline.","- **First LBQ Manager below you:** 40% of their Open Group Case Credits
- **Second LBQ Manager below you:** 20% of their Open Group Case Credits
- **Third LBQ Manager below you:** 10% of their Open Group Case Credits
These percentages apply to each sponsorship line separately. You only receive Leadership Case Credits once your personally sponsored people (or their downlines) reach the Manager level and you meet the LBQ qualification yourself.",CA-EN-Company-Policy.pdf - Sec 4.01-j: A Sponsor receives full case credits of any personally sponsored Retail or | 4.01 | CA,CA-EN-Company-Policy.pdf - Sec 4.01-j: A Sponsor receives full case credits of any personally sponsored Retail or | 4.01 | CA,False,False,,,False,False,False,False,,,
PARA-PC-CA-010,Preferred Customer,locale_policy,answer,CA,,en,"I just want to buy at a discount, not build a business - what's that option and discount?",The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"That option is **Preferred Customer**.

As a Preferred Customer, you register to purchase Forever Living products at **up to a 5% discount off the Suggested Retail Price (SRP)**. You don't participate in the company's marketing plan or build a business—you simply buy products at the reduced price.

If you're interested in learning more about getting started, I'm happy to help with product details or next steps.",,CA-EN-Company-Policy.pdf - Sec 2-part-1-definition-28: Preferred Customer | 2 | CA,False,False,17,14,False,True,False,True,,,
