key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"¡Estoy bien, gracias por preguntar! ¿Qué puedo ayudarte a encontrar hoy?",,,no,1.26,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,¡Hola! ¡Soy AskVera! Puedo ayudarte con preguntas sobre las políticas de Forever Living o encontrar los datos de contacto de una oficina. ¿En qué puedo ayudarte?,,,no,5.55,,,,
thanks,config/conversation_routes.json,You're welcome!,¡En cualquier momento! Estoy aquí si surge algo más.,,,no,3.47,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Soy AskVera, tu guía sobre las políticas oficiales de Forever Living y el directorio internacional de patrocinio. Pregúntame sobre reglas de calificación, bonificaciones, preguntas de cumplimiento normativo, o cómo comunicarte con una oficina, y encontraré la respuesta aprobada para ti.",,,no,1.49,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","Los documentos de política aprobados disponibles actualmente no contienen información suficiente para responder claramente a esta pregunta. Reformula la pregunta o contacta con el soporte de Forever Living para obtener una respuesta oficial.

También puedes contactar con Atención al Cliente de Forever Living al [PHONE].",,,no,1.22,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
