key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Minulla menee hyvin, kiitos kysymisestä! Mitä voin auttaa sinua löytämään tänään?",,,no,1.42,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,Hei! Olen AskVera! Voin auttaa Forever Living -käytäntökysymyksissä tai toimiston yhteystietojen löytämisessä - miten voin auttaa sinua?,,,no,4.69,,,,
thanks,config/conversation_routes.json,You're welcome!,"Milloin tahansa! Olen täällä, jos mitään muuta tulee vastaan.",,,no,4.07,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Olen AskVera, oppaasi Forever Livingin virallisiin käytäntöihin ja kansainväliseen sponsorointihakemistoon. Kysy minulta pätevyyssäännöistä, bonuksista, vaatimustenmukaisuuskysymyksistä tai siitä, kuinka tavoitat toimiston, ja löydän sinulle hyväksytyn vastauksen.",,,no,1.38,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","Tällä hetkellä käytettävissä olevat hyväksytyt käytäntöasiakirjat eivät sisällä tarpeeksi tietoa vastatakseni tähän kysymykseen selkeästi. Muotoile kysymys uudelleen tai ota yhteyttä Forever Livingin tukeen saadaksesi virallisen vastauksen.

Voit myös ottaa yhteyttä Forever Livingin asiakaspalveluun numerossa [PHONE].",,,no,1.21,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Olen pahoillani, mutta en voi auttaa tässä kysymyksessä. AskVera auttaa Forever Livingin hyväksyttyihin yrityskäytäntöihin ja kansainvälisen sponsorointihakemiston tietoihin liittyvissä asioissa. Kysy mielellään jommastakummasta aiheesta.",,,no,1.00,,,,
