key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Sto bene, grazie per aver chiesto! Cosa posso aiutarti a trovare oggi?",,,no,1.23,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,Ciao! Sono AskVera! Posso aiutarti con domande sulle politiche Forever Living o trovare i dettagli di contatto di un ufficio - come posso aiutarti?,,,no,5.07,,,,
thanks,config/conversation_routes.json,You're welcome!,Quando vuoi! Sono qui se hai bisogno di altro.,,,no,3.07,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Sono AskVera, la tua guida alle politiche ufficiali di Forever Living e all'elenco internazionale di sponsorizzazione. Chiedimi informazioni su regole di qualificazione, bonus, domande sulla conformità o come raggiungere un ufficio, e troverò la risposta approvata per te.",,,no,1.42,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","I documenti di policy approvati attualmente disponibili non contengono informazioni sufficienti per rispondere chiaramente a questa domanda. Riformula la domanda o contatta il supporto Forever Living per una risposta ufficiale.

Puoi anche contattare l'Assistenza Clienti Forever Living al [PHONE].",,,no,1.13,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Mi dispiace, ma non posso aiutarti con questa domanda. AskVera può aiutarti con le politiche aziendali approvate di Forever Living e le informazioni dell’elenco internazionale di sponsorizzazione. Fammi una domanda su uno di questi argomenti e sarò felice di aiutarti.",,,no,1.13,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Non sono in grado di fornire consigli medici o fare affermazioni riguardanti il trattamento o la cura di qualsiasi cosa. Per qualsiasi questione legata alla salute, un professionista sanitario qualificato è davvero la persona giusta a cui rivolgersi. I prodotti Forever non sono stati valutati dalla Food and Drug Administration e non sono destinati a diagnosticare, trattare, curare o prevenire alcuna malattia.",,,no,1.23,,,,
income_claim,config/conversation_routes.json,I can't share income projections or guarantees - that's not something I'm able to speak to. The official Income Disclosure Statement is the right place for that kind of detail. Individual results may vary. Forever makes no guarantees on income or success. The Forever Business Owner opportunity and related incentives are not available to residents of the United States.,Non posso condividere proiezioni di reddito o garanzie - non è qualcosa di cui posso parlare. L'Income Disclosure Statement ufficiale è il posto giusto per quel tipo di dettagli. I risultati individuali possono variare. Forever non offre garanzie di reddito o di successo. L'opportunità Forever Business Owner e i relativi incentivi non sono disponibili per i residenti degli Stati Uniti.,,,no,1.05,,,,
bedrock_error,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Mi dispiace - sto avendo un breve problema tecnico nel raggiungere la base di conoscenza. Potresti riprovare tra un momento?,,,no,1.09,,,,
sensitive_pii,config/conversation_routes.json,"For your privacy, I removed sensitive personal information from your message. AskVera does not use or save government IDs, payment details, passwords, or other sensitive identifiers. Please ask again without personal details.",,,,no,,machine_translated_at_request_time,,,
guardrail_blocked,config/conversation_routes.json,I couldn't provide that response because it did not pass AskVera's safety checks. Please rephrase the question without private information or unsafe claims.,,,,no,,machine_translated_at_request_time,,,
reference_clarification,config/conversation_routes.json,I want to make sure I answer about the right country — do you mean {candidates}?,Voglio assicurarmi di rispondere sul paese giusto — intendi {candidates}?,{candidates},{candidates},no,0.91,,,,
dependency_unavailable,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Mi dispiace - sto avendo un breve problema tecnico nel raggiungere la base di conoscenza. Potresti riprovare tra un momento?,,,no,1.09,,,,
evidence_missing_detail,config/conversation_routes.json,"The approved documents I have do not contain enough detail about {topic} to answer that. Please rephrase the question, or contact Forever Living support for an official answer.",I documenti approvati che ho non contengono abbastanza dettagli su {topic} per rispondere a questo. Riformula la domanda o contatta il supporto Forever Living per una risposta ufficiale.,{topic},{topic},no,1.06,,,,
cross_market_policy_scope,config/conversation_routes.json,"I can only answer using the policy documents approved for your own market. For {country}'s policy specifically, please check with a local Forever Living office or Customer Care.","Posso rispondere solo utilizzando i documenti di policy approvati per il tuo mercato. Per la policy specifica di {country}, contatta un ufficio locale Forever Living o l'Assistenza Clienti.",{country},{country},no,1.07,,,,
international_directory_note,config/conversation_routes.json,"This contact information comes from the international sponsoring directory for {country}, not from local policy documents.","Queste informazioni di contatto provengono dall'elenco internazionale di sponsorizzazione per {country}, non dai documenti di policy locali.",{country},{country},no,1.15,,,,
personal_account_limit,config/conversation_routes.json,"I can't look up personal account, order or earnings details. Please contact Forever Living Customer Care or check your account portal for that.","Non posso consultare i dettagli dell'account personale, degli ordini o dei guadagni. Contatta l'Assistenza Clienti Forever Living o consulta il tuo portale account per questo.",,,no,1.22,,,,
partial_answer_gap,config/conversation_routes.json,I could not confirm {fields} from the approved documents. The rest of the answer above is what I could confirm.,Non ho potuto confermare {fields} dai documenti approvati. Il resto della risposta sopra è ciò che ho potuto confermare.,{fields},{fields},no,1.08,,,,
clarify_field,config/conversation_routes.json,Which of these did you mean: {options}?,Quale di questi intendevi: {options}?,{options},{options},no,0.95,,,,
clarify_country,config/conversation_routes.json,Which country did you mean: {options}?,Quale paese intendevi: {options}?,{options},{options},no,0.87,,,,
clarify_role,config/conversation_routes.json,Which role did you mean: {options}?,Quale ruolo intendevi: {options}?,{options},{options},no,0.94,,,,
repair_ack,config/conversation_routes.json,"Got it, thanks for clarifying.","Capito, grazie per il chiarimento.",,,no,1.13,,,,
contact_offer,config/conversation_routes.json,You can also reach {contact} for more help.,Puoi anche contattare {contact} per ulteriore assistenza.,{contact},{contact},no,1.33,,,,
