key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
catalogue_scope,config/conversation_routes.json,"I don't have product prices, the catalogue, stock levels or order status - those aren't part of the approved documents I work from, so I can't look them up. Your upline or Forever Living support can give you current pricing and order information.",,,,no,,machine_translated_at_request_time,,,
wellbeing,config/conversation_routes.json,Thanks for asking! I'm here to help. What's on your mind?,"Mir geht es gut, danke der Nachfrage! Wie kann ich dir heute helfen?",,,no,1.19,,,,
greeting,config/conversation_routes.json,Hi! What can I help you with?,Hallo! Ich bin AskVera! Ich kann dir bei Fragen zur Forever Living-Richtlinie helfen oder die Kontaktdaten eines Büros finden - wie kann ich dir helfen?,,,no,5.24,,,,
thanks,config/conversation_routes.json,You're welcome!,"Jederzeit! Ich bin da, wenn noch etwas anderes auftaucht.",,,no,3.80,,,,
farewell,config/conversation_routes.json,Take care!,,,,no,,english_shown,,,
capability,config/conversation_routes.json,"I'm AskVera, an AI guide to Forever Living's official policies and international sponsoring directory. I can help explain policy rules or find office contact details in the approved documents.","Ich bin AskVera, dein Leitfaden zu den offiziellen Richtlinien von Forever Living und dem internationalen Sponsoring-Verzeichnis. Frag mich nach Qualifikationsregeln, Boni, Compliance-Fragen oder wie du ein Büro erreichst, und ich finde die genehmigte Antwort für dich.",,,no,1.40,,,,
casual,config/conversation_routes.json,"Jokes aren't my specialty, but I can help untangle a Forever Living policy question.",,,,no,,both_paths_differ,,,
period_not_covered,config/conversation_routes.json,The approved documents available to me do not contain information for {period}. I cannot speculate about policy changes outside the documented period.,,{period},,yes,,machine_translated_at_request_time,,,
country_typo_confirmation,config/conversation_routes.json,"I want to make sure I understand — did you mean ""{country}""? Please confirm, or rephrase your question with the country name.",,{country},,yes,,machine_translated_at_request_time,,,
insufficient_evidence,config/conversation_routes.json,"The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.

You can also reach Forever Living Customer Care at [PHONE].","Die derzeit verfügbaren freigegebenen Richtliniendokumente enthalten nicht genügend Informationen, um diese Frage eindeutig zu beantworten. Formulieren Sie die Frage neu oder wenden Sie sich an den Forever Living Support, um eine offizielle Antwort zu erhalten.

Sie können sich auch an den Forever Living Kundenservice unter [PHONE] wenden.",,,no,1.29,,,,
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Es tut mir leid, aber bei dieser Frage kann ich nicht helfen. AskVera unterstützt Sie bei freigegebenen Unternehmensrichtlinien von Forever Living und Informationen aus dem internationalen Sponsoring-Verzeichnis. Stellen Sie mir gern eine Frage zu einem dieser Bereiche.",,,no,1.13,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Ich kann keine medizinische Beratung geben und keine Aussagen über die Behandlung oder Heilung von etwas machen. Bei gesundheitlichen Fragen ist ein qualifizierter Fachmann im Gesundheitswesen wirklich die richtige Ansprechperson. Die Produkte von Forever wurden nicht von der Food and Drug Administration bewertet und sind nicht dazu bestimmt, eine Krankheit zu diagnostizieren, zu behandeln, zu heilen oder zu verhindern.",,,no,1.26,,,,
income_claim,config/conversation_routes.json,I can't share income projections or guarantees - that's not something I'm able to speak to. The official Income Disclosure Statement is the right place for that kind of detail. Individual results may vary. Forever makes no guarantees on income or success. The Forever Business Owner opportunity and related incentives are not available to residents of the United States.,"Ich kann keine Einkommensprognosen oder Garantien geben – das ist etwas, das ich nicht besprechen kann. Die offizielle Income Disclosure Statement ist der richtige Ort für solche Details. Individuelle Ergebnisse können variieren. Forever gibt keine Garantien für Einkommen oder Erfolg. Die Forever Business Owner-Möglichkeit und die damit verbundenen Anreize stehen Einwohnern der Vereinigten Staaten nicht zur Verfügung.",,,no,1.14,,,,
bedrock_error,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Entschuldigung – ich habe gerade eine kurze technische Störung beim Zugriff auf die Wissensdatenbank. Könnten Sie es in einem Moment erneut versuchen?,,,no,1.32,,,,
sensitive_pii,config/conversation_routes.json,"For your privacy, I removed sensitive personal information from your message. AskVera does not use or save government IDs, payment details, passwords, or other sensitive identifiers. Please ask again without personal details.","Zum Schutz Ihrer Privatsphäre habe ich sensible persönliche Angaben aus Ihrer Nachricht entfernt. AskVera verwendet oder speichert keine Ausweis-, Zahlungs- oder Zugangsdaten. Stellen Sie die Frage bitte erneut ohne persönliche Daten.",,,no,1.04,,,,
guardrail_blocked,config/conversation_routes.json,I couldn't provide that response because it did not pass AskVera's safety checks. Please rephrase the question without private information or unsafe claims.,"Ich konnte diese Antwort nicht bereitstellen, weil sie die Sicherheitsprüfungen von AskVera nicht bestanden hat. Formulieren Sie die Frage bitte ohne private Angaben oder unsichere Behauptungen neu.",,,no,1.27,,,,
reference_clarification,config/conversation_routes.json,I want to make sure I answer about the right country — do you mean {candidates}?,"Ich möchte sicherstellen, dass ich zum richtigen Land antworte – meinen Sie {candidates}?",{candidates},{candidates},no,1.11,,,,
dependency_unavailable,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Entschuldigung – ich habe gerade eine kurze technische Störung beim Zugriff auf die Wissensdatenbank. Könnten Sie es in einem Moment erneut versuchen?,,,no,1.32,,,,
